latitude, longitude, hora, velocidade
39.1529, 147.3476, 2022-09-06 10:22:36.660508, 27653.589277749204
39.5583, 148.0093, 2022-09-06 10:22:47.155141, 27592.115187740157
39.9595, 148.6793, 2022-09-06 10:22:57.652547, 27588.635476636195
40.3562, 149.3577, 2022-09-06 10:23:08.157345, 27567.537516369688
40.7483, 150.0446, 2022-09-06 10:23:18.629424, 27651.877820456146
41.1358, 150.7402, 2022-09-06 10:23:29.133875, 27569.959088145024
41.5185, 151.4444, 2022-09-06 10:23:39.622431, 27607.49996002689
41.8962, 152.1575, 2022-09-06 10:23:50.126571, 27565.307001336412
42.2689, 152.8796, 2022-09-06 10:24:00.597610, 27654.148560306403
42.6365, 153.6108, 2022-09-06 10:24:11.088102, 27605.16132498853
43.0672, 154.4933, 2022-09-06 10:24:23.662630, 27417.969538655216
43.423, 155.2446, 2022-09-06 10:24:34.124014, 27678.778352515255
43.7733, 156.0053, 2022-09-06 10:24:44.633906, 27554.182009177464
44.1178, 156.7754, 2022-09-06 10:24:55.294172, 27163.086856492628
44.4565, 157.5551, 2022-09-06 10:25:05.751966, 27693.125254101247
44.7891, 158.3441, 2022-09-06 10:25:16.275018, 27512.82368981753
45.1156, 159.1428, 2022-09-06 10:25:26.774983, 27576.94548102336
45.4359, 159.9511, 2022-09-06 10:25:37.275367, 27576.76612616967
45.7497, 160.7691, 2022-09-06 10:25:47.812443, 27480.342065723074
46.0571, 161.5969, 2022-09-06 10:25:58.322727, 27557.12647890247
46.3577, 162.4342, 2022-09-06 10:26:08.770702, 27715.232223568702
46.6514, 163.2811, 2022-09-06 10:26:19.285262, 27537.36865228279
46.9381, 164.1378, 2022-09-06 10:26:29.775328, 27606.052809351233
47.2177, 165.0039, 2022-09-06 10:26:40.251256, 27639.119607484183
47.49, 165.8795, 2022-09-06 10:26:50.743783, 27594.20182947169
47.7549, 166.7647, 2022-09-06 10:27:01.270583, 27508.340978595912
48.0122, 167.6593, 2022-09-06 10:27:11.743434, 27650.090200909377
48.2501, 168.5201, 2022-09-06 10:27:22.243531, 26269.95285525888
48.4921, 169.4326, 2022-09-06 10:27:32.743075, 27575.453590133635
48.7262, 170.3543, 2022-09-06 10:27:43.186354, 27729.945576277565
48.9521, 171.2849, 2022-09-06 10:27:53.661425, 27645.39284355899
49.1697, 172.2242, 2022-09-06 10:28:04.151740, 27604.698846934403
49.379, 173.1722, 2022-09-06 10:28:14.641737, 27611.815677409613
49.5796, 174.1282, 2022-09-06 10:28:25.120073, 27632.383070186435
49.7715, 175.0924, 2022-09-06 10:28:35.595733, 27642.305459564835
49.9546, 176.0644, 2022-09-06 10:28:46.075190, 27631.48453394096
50.1288, 177.044, 2022-09-06 10:28:56.531041, 27695.028201816636
50.2939, 178.031, 2022-09-06 10:29:07.040252, 27556.877961636164
50.4498, 179.025, 2022-09-06 10:29:17.529675, 27609.03479793713
50.5964, -179.9745, 2022-09-06 10:29:28.010028, 27628.573816323973
50.7525, -178.8233, 2022-09-06 10:29:40.332694, 26856.410434593818
50.8788, -177.8097, 2022-09-06 10:29:50.819937, 27609.820375291736
51.0218, -176.547, 2022-09-06 10:30:03.959198, 27286.680167492705
51.1265, -175.5216, 2022-09-06 10:30:14.444238, 27614.74888281933
51.2214, -174.4913, 2022-09-06 10:30:24.924815, 27633.432167384537
51.3064, -173.457, 2022-09-06 10:30:35.394221, 27657.24246113022
51.3814, -172.4188, 2022-09-06 10:30:45.940051, 27459.90954886211
51.4464, -171.3773, 2022-09-06 10:30:56.440931, 27576.978487098695
51.5014, -170.3329, 2022-09-06 10:31:06.944131, 27572.166796321562
51.5463, -169.2862, 2022-09-06 10:31:17.470237, 27509.78818879578
51.581, -168.2375, 2022-09-06 10:31:27.951401, 27629.896552276925
51.6056, -167.1874, 2022-09-06 10:31:38.428926, 27638.8735046855
51.6199, -166.1363, 2022-09-06 10:31:48.903105, 27649.166806471563
51.6241, -165.0847, 2022-09-06 10:31:59.378459, 27647.517242080317
51.6181, -164.0331, 2022-09-06 10:32:09.878453, 27583.77871649073
51.6018, -162.9821, 2022-09-06 10:32:20.376743, 27586.723926046187
51.5754, -161.9321, 2022-09-06 10:32:30.847110, 27660.974437041794
51.5388, -160.8837, 2022-09-06 10:32:41.328120, 27630.77965021304
51.4921, -159.8372, 2022-09-06 10:32:51.856439, 27509.143956349417
51.4352, -158.7933, 2022-09-06 10:33:02.324804, 27663.83642026084
51.3684, -157.7523, 2022-09-06 10:33:12.821682, 27589.284142527973
51.2915, -156.7147, 2022-09-06 10:33:23.289106, 27667.49237051145
51.209, -155.7301, 2022-09-06 10:33:33.777078, 26298.155586220593
51.1128, -154.7002, 2022-09-06 10:33:44.249478, 27660.215141832447
51.0067, -153.6752, 2022-09-06 10:33:54.725829, 27645.094656456204
50.891, -152.6552, 2022-09-06 10:34:05.231024, 27571.12534748028
50.7656, -151.6406, 2022-09-06 10:34:15.718523, 27620.82408213076
50.6307, -150.632, 2022-09-06 10:34:26.199759, 27633.8863268712
50.4863, -149.6296, 2022-09-06 10:34:36.686026, 27622.346169780725
50.3326, -148.6338, 2022-09-06 10:34:47.158148, 27659.07879146378
50.1697, -147.6448, 2022-09-06 10:34:57.667469, 27563.98382077659
49.9977, -146.6631, 2022-09-06 10:35:08.146769, 27640.8919408772
49.8167, -145.689, 2022-09-06 10:35:18.661563, 27545.50606894707
49.6268, -144.7226, 2022-09-06 10:35:29.187973, 27517.815066164876
49.4282, -143.7642, 2022-09-06 10:35:39.683501, 27599.353876323312
49.221, -142.8141, 2022-09-06 10:35:50.173225, 27613.806865527215
49.0053, -141.8724, 2022-09-06 10:36:00.674341, 27586.480354655447
48.7813, -140.9394, 2022-09-06 10:36:11.163371, 27617.26436288917
48.5491, -140.0152, 2022-09-06 10:36:21.652229, 27619.246179614383
48.3088, -139.1001, 2022-09-06 10:36:32.139120, 27622.896315951337
48.0607, -138.1941, 2022-09-06 10:36:42.725993, 27361.64729759249
47.8047, -137.2973, 2022-09-06 10:36:53.226331, 27591.25966977242
47.5412, -136.41, 2022-09-06 10:37:03.728327, 27581.729755171567
47.2702, -135.532, 2022-09-06 10:37:14.185391, 27705.002287994084
46.9919, -134.6637, 2022-09-06 10:37:24.668773, 27630.705341186487
46.7201, -133.8455, 2022-09-06 10:37:35.129502, 26377.639928465116
46.4278, -132.9957, 2022-09-06 10:37:45.651051, 27539.646955951805
46.1287, -132.1557, 2022-09-06 10:37:56.133218, 27637.714463587075
45.8228, -131.3253, 2022-09-06 10:38:06.682407, 27465.07305310993
45.5103, -130.5046, 2022-09-06 10:38:17.173791, 27615.742666764276
45.1914, -129.6935, 2022-09-06 10:38:27.678546, 27581.076388886417
44.8662, -128.8922, 2022-09-06 10:38:38.174804, 27598.966891696306
44.5347, -128.1004, 2022-09-06 10:38:48.702688, 27521.5596898265
44.0998, -127.0964, 2022-09-06 10:39:01.921896, 28178.443480346756
43.7548, -126.3263, 2022-09-06 10:39:12.421258, 27596.62433139289
43.4041, -125.5658, 2022-09-06 10:39:22.918227, 27598.115726762902
43.0478, -124.8144, 2022-09-06 10:39:33.439699, 27540.853473860647
42.686, -124.0723, 2022-09-06 10:39:43.914820, 27663.30616828873
42.3189, -123.3396, 2022-09-06 10:39:54.410228, 27604.002169841995
41.911, -122.5473, 2022-09-06 10:40:06.069226, 27219.084862873264
41.5331, -121.8334, 2022-09-06 10:40:16.530063, 27700.76230182557
41.1504, -121.1283, 2022-09-06 10:40:27.006258, 27659.19055046533
40.7629, -120.432, 2022-09-06 10:40:37.486565, 27647.525750781297
40.3707, -119.7443, 2022-09-06 10:40:47.975366, 27627.04813302275
39.9738, -119.065, 2022-09-06 10:40:58.498556, 27543.821229871297
39.5726, -118.3942, 2022-09-06 10:41:09.022251, 27536.60943436965
39.167, -117.7317, 2022-09-06 10:41:19.495861, 27669.837514304218
38.7572, -117.0774, 2022-09-06 10:41:29.980888, 27638.250868956682
38.3631, -116.4616, 2022-09-06 10:41:40.486936, 26272.512132706448
37.9454, -115.8228, 2022-09-06 10:41:50.987027, 27599.501852887028
37.5238, -115.1918, 2022-09-06 10:42:01.477608, 27623.783835760365
37.0983, -114.5684, 2022-09-06 10:42:11.969703, 27623.57173769805
36.6692, -113.9525, 2022-09-06 10:42:22.527056, 27450.21399709468
36.2158, -113.3151, 2022-09-06 10:42:33.089659, 28745.04661191312
35.8002, -112.7426, 2022-09-06 10:42:43.571891, 26332.75231075579
35.3606, -112.1483, 2022-09-06 10:42:54.062480, 27626.79542394487
34.9176, -111.561, 2022-09-06 10:43:04.557201, 27617.130954772456
34.4714, -110.9805, 2022-09-06 10:43:15.076699, 27551.750519235724
34.022, -110.4067, 2022-09-06 10:43:25.571595, 27617.606005321148
33.5695, -109.8394, 2022-09-06 10:43:36.059016, 27639.783414763275
33.1141, -109.2785, 2022-09-06 10:43:46.582314, 27543.721789018204
32.6558, -108.7238, 2022-09-06 10:43:57.131732, 27477.70581925845
32.1947, -108.1753, 2022-09-06 10:44:07.642910, 27575.86448150362
31.7309, -107.6329, 2022-09-06 10:44:18.159152, 27559.269046140234
31.2644, -107.0964, 2022-09-06 10:44:28.675038, 27560.869331799102
30.7953, -106.5655, 2022-09-06 10:44:39.188675, 27570.915613623456
30.3238, -106.0403, 2022-09-06 10:44:49.711771, 27540.608890064494
29.8497, -105.5205, 2022-09-06 10:45:00.223025, 27578.66614321634
29.3733, -105.006, 2022-09-06 10:45:10.724075, 27604.745818953044
28.8945, -104.4968, 2022-09-06 10:45:21.241081, 27564.130884538095
28.4135, -103.9926, 2022-09-06 10:45:31.765529, 27546.160468635997
27.9303, -103.4935, 2022-09-06 10:45:42.312860, 27484.31824396884
27.445, -102.9991, 2022-09-06 10:45:52.835026, 27553.762275308272
26.9577, -102.5095, 2022-09-06 10:46:03.350637, 27567.907974489302
26.4683, -102.0246, 2022-09-06 10:46:13.863747, 27576.002111679856
25.977, -101.544, 2022-09-06 10:46:24.383156, 27563.618821341137
25.4839, -101.068, 2022-09-06 10:46:34.892534, 27582.2917413454
24.989, -100.5962, 2022-09-06 10:46:45.411613, 27558.104833254412
24.4923, -100.1285, 2022-09-06 10:46:55.915580, 27600.424285636014
23.9939, -99.6649, 2022-09-06 10:47:06.432885, 27563.820683690272
23.4939, -99.2053, 2022-09-06 10:47:16.944188, 27576.158953663504
22.9922, -98.7494, 2022-09-06 10:47:27.474798, 27531.82823346749
22.489, -98.2973, 2022-09-06 10:47:37.975590, 27606.236736756324
21.9843, -97.8488, 2022-09-06 10:47:48.523555, 27482.927613045387
21.3332, -97.2772, 2022-09-06 10:48:01.702789, 28284.069982760266
20.8252, -96.8365, 2022-09-06 10:48:12.242417, 27507.593572748763
20.3158, -96.3991, 2022-09-06 10:48:22.760310, 27565.416528486796
19.8052, -95.9649, 2022-09-06 10:48:33.321634, 27447.947232526643
19.2934, -95.5338, 2022-09-06 10:48:43.837507, 27563.90980342511
18.7802, -95.1056, 2022-09-06 10:48:54.360887, 27552.147160264743
18.266, -94.6803, 2022-09-06 10:49:04.891350, 27527.3045587441
17.7506, -94.2578, 2022-09-06 10:49:15.401087, 27583.399054149144
